origin-time-utc,mag,mag-type,latitude,longitude,depth(km),region,a/m,time-updated,kml
07/02/2023 3:29,4.1,MLv,38.0603° N,37.4890° E,4,Nurhak-Kahramanmaras,A,07/02/2023 3:32,Stations Event
07/02/2023 3:13,5.3,mb,37.7700° N,37.7652° E,10,Golbasi-Adiyaman,M,07/02/2023 7:12,Stations Event
07/02/2023 3:09,5.2,MLv,37.8699° N,37.6868° E,92,Golbasi-Adiyaman,A,07/02/2023 3:14,Stations Event
07/02/2023 3:00,3.5,MLv,38.2343° N,38.1537° E,10,Yesilyurt-Malatya,A,07/02/2023 3:03,Stations Event
07/02/2023 2:53,4.8,MLv,38.0832° N,36.6586° E,0,Goksun-Kahramanmaras,A,07/02/2023 3:11,Stations Event
07/02/2023 2:47,4.6,mb,35.9899° N,35.8771° E,10,Jordan/Syria Region,M,07/02/2023 7:55,Stations Event
07/02/2023 2:39,4.3,MLv,38.5831° N,37.4918° E,0,Darende-Malatya,A,07/02/2023 2:42,Stations Event
07/02/2023 2:34,3.7,MLv,37.8781° N,36.6568° E,0,Merkez-Kahramanmaras,A,07/02/2023 2:38,Stations Event
07/02/2023 2:28,4,MLv,36.8811° N,36.3538° E,52,Dortyol-Hatay,A,07/02/2023 2:35,Stations Event
07/02/2023 2:14,2.6,MLv,36.0156° N,33.7911° E,5,Turkey,M,07/02/2023 7:21,Stations Event
07/02/2023 1:32,4,MLv,38.0374° N,36.5689° E,0,Goksun-Kahramanmaras,A,07/02/2023 1:35,Stations Event
07/02/2023 1:18,3.6,MLv,38.0438° N,36.4435° E,0,Goksun-Kahramanmaras,A,07/02/2023 1:20,Stations Event
07/02/2023 1:05,3.3,MLv,36.7479° N,36.3986° E,5,Hassa-Hatay,M,07/02/2023 10:06,Stations Event
